Mission Control demo credentials (deterministic -- same on every run; see README's Demo credentials section):
Intentionally-fake demo credentials for a LAN-only take-home demo instance -- committed on purpose, not a leaked secret. Secret-scanning alert on this file? See the PRD's Refinement log (R-13) for why.

ORG                          ROLE          NAME             EMAIL                            PASSWORD
Northwind Disaster Response  director      Dana Whitfield   director.dana@northwind.demo     MissionControl2026!
Northwind Disaster Response  mission_lead  Marcus Chen      lead.marcus@northwind.demo       MissionControl2026!
Northwind Disaster Response  mission_lead  Priya Anand      lead.priya@northwind.demo        MissionControl2026!
Northwind Disaster Response  mission_lead  Devon Okafor     lead.devon@northwind.demo        MissionControl2026!
Northwind Disaster Response  crew_member   Sam Rivera       sam.rivera@northwind.demo        MissionControl2026!
Northwind Disaster Response  crew_member   Jordan Blake     jordan.blake@northwind.demo      MissionControl2026!
Northwind Disaster Response  crew_member   Casey Nguyen     casey.nguyen@northwind.demo      MissionControl2026!
Northwind Disaster Response  crew_member   Taylor Morgan    taylor.morgan@northwind.demo     MissionControl2026!
Northwind Disaster Response  crew_member   Riley Ortiz      riley.ortiz@northwind.demo       MissionControl2026!
Northwind Disaster Response  crew_member   Avery Kim        avery.kim@northwind.demo         MissionControl2026!
Northwind Disaster Response  crew_member   Jamie Fox        jamie.fox@northwind.demo         MissionControl2026!
Northwind Disaster Response  crew_member   Quinn Ellis      quinn.ellis@northwind.demo       MissionControl2026!
Northwind Disaster Response  crew_member   Nadia Osei       nadia.osei@northwind.demo        MissionControl2026!
Northwind Disaster Response  crew_member   Elliot Park      elliot.park@northwind.demo       MissionControl2026!
Northwind Disaster Response  crew_member   Harper Whitaker  harper.whitaker@northwind.demo   MissionControl2026!
Northwind Disaster Response  crew_member   Harper Delgado   harper.delgado@northwind.demo    MissionControl2026!
Northwind Disaster Response  crew_member   Harper Kowalski  harper.kowalski@northwind.demo   MissionControl2026!
Northwind Disaster Response  crew_member   Harper Iverson   harper.iverson@northwind.demo    MissionControl2026!
Northwind Disaster Response  crew_member   Harper Mbeki     harper.mbeki@northwind.demo      MissionControl2026!
Northwind Disaster Response  crew_member   Rowan Whitaker   rowan.whitaker@northwind.demo    MissionControl2026!
Northwind Disaster Response  crew_member   Rowan Delgado    rowan.delgado@northwind.demo     MissionControl2026!
Northwind Disaster Response  crew_member   Rowan Kowalski   rowan.kowalski@northwind.demo    MissionControl2026!
Northwind Disaster Response  crew_member   Rowan Iverson    rowan.iverson@northwind.demo     MissionControl2026!
Northwind Disaster Response  crew_member   Rowan Mbeki      rowan.mbeki@northwind.demo       MissionControl2026!
Northwind Disaster Response  crew_member   Skyler Whitaker  skyler.whitaker@northwind.demo   MissionControl2026!
Northwind Disaster Response  crew_member   Skyler Delgado   skyler.delgado@northwind.demo    MissionControl2026!
Northwind Disaster Response  crew_member   Skyler Kowalski  skyler.kowalski@northwind.demo   MissionControl2026!
Northwind Disaster Response  crew_member   Skyler Iverson   skyler.iverson@northwind.demo    MissionControl2026!
Northwind Disaster Response  crew_member   Skyler Mbeki     skyler.mbeki@northwind.demo      MissionControl2026!
Northwind Disaster Response  crew_member   Emerson Whitaker emerson.whitaker@northwind.demo  MissionControl2026!
Northwind Disaster Response  crew_member   Emerson Delgado  emerson.delgado@northwind.demo   MissionControl2026!
Northwind Disaster Response  crew_member   Emerson Kowalski emerson.kowalski@northwind.demo  MissionControl2026!
Northwind Disaster Response  crew_member   Emerson Iverson  emerson.iverson@northwind.demo   MissionControl2026!
Northwind Disaster Response  crew_member   Emerson Mbeki    emerson.mbeki@northwind.demo     MissionControl2026!
Northwind Disaster Response  crew_member   Dakota Whitaker  dakota.whitaker@northwind.demo   MissionControl2026!
Northwind Disaster Response  crew_member   Dakota Delgado   dakota.delgado@northwind.demo    MissionControl2026!
Northwind Disaster Response  crew_member   Dakota Kowalski  dakota.kowalski@northwind.demo   MissionControl2026!
Northwind Disaster Response  crew_member   Dakota Iverson   dakota.iverson@northwind.demo    MissionControl2026!
Northwind Disaster Response  crew_member   Dakota Mbeki     dakota.mbeki@northwind.demo      MissionControl2026!
